era,base,A,B,A,A,C
AD,1,3,1,1,1,4
AD,1,3,1,1,1,4
AD,4,1,1,1,1,1
AD,3,1,1,1,2,3
AD,1,1,1,1,2,4
BC,4,3,1,1,1,1
AD,4,1,1,1,3,3
AD,1,1,1,1,1,4
AD,1,3,1,1,1,4
AD,1,3,1,1,1,4
AD,1,3,1,1,1,4
BC,4,1,1,1,1,1
AD,1,4,3,1,1,1
AD,1,1,1,1,1,4
AD,1,1,1,1,1,4
AD,1,4,1,1,1,1
AD,1,4,1,1,1,1
AD,4,1,1,1,1,1
AD,1,1,1,1,4,1
AD,4,1,1,1,3,1
AD,4,3,1,1,1,4
AD,1,1,1,1,4,1
AD,1,1,1,1,3,4
AD,1,1,1,1,4,1
AD,1,4,1,1,1,1
AD,1,1,1,1,1,4
AD,1,4,1,1,3,1
AD,1,1,4,1,1,1
AD,1,1,1,1,1,4
AD,1,4,3,1,1,1
BC,1,4,1,1,3,1
BC,1,4,1,1,3,1
AD,4,1,1,1,1,1
BC,1,1,4,1,1,1
AD,1,4,1,1,2,1
BC,1,3,1,1,1,1
BC,4,1,1,1,1,1
BC,1,4,1,1,1,1
BC,1,4,1,1,2,1
BC,1,4,1,1,1,1
BC,1,4,1,1,1,1
BC,1,4,1,1,2,1
BC,1,1,4,1,1,1
BC,1,3,1,1,4,1
BC,1,4,4,1,1,1
BC,4,2,1,1,1,1
BC,1,4,3,1,3,1
BC,4,1,1,1,1,1
BC,1,4,3,1,1,1
BC,1,4,1,1,2,1
BC,4,1,1,1,1,1
BC,1,4,3,1,1,1
BC,4,1,1,1,1,1
BC,1,4,3,1,2,1
BC,1,4,3,1,1,1
BC,1,4,1,1,1,1
BC,1,4,3,1,1,1
BC,4,1,1,1,2,1
BC,4,1,1,1,2,1
BC,1,4,3,1,1,1
